id,model,brand,weight,released,operatingSystem,platform,deviceCategory
183,Xphone,O2,130 g,2004 Jun,Microsoft Windows Mobile 2003 for Smartphone,Windows (mobile-class),Smartphone
184,8080,Qtek,130 g,2004 Aug.,Microsoft Windows Mobile 2003 for Smartphone,Windows (mobile-class),Smartphone
185,Smartphone2,I-Mate,130 g,2004 Apr.,Microsoft Windows Mobile 2003 for Smartphone,Windows (mobile-class),Smartphone
186,SPV E200,Orange,130 g,2003 Dec,Microsoft Windows Mobile 2003 for Smartphone,Windows (mobile-class),Smartphone
187,8060,Qtek,130 g,2004 Jan.,Microsoft Windows Mobile 2003 for Smartphone,Windows (mobile-class),Smartphone
188,7070,Qtek,127 g,2003 Jun,Microsoft Smartphone 2002 (Stinger),Windows (mobile-class),Smartphone
189,Smartphone,I-Mate,127 g,2003 May,Microsoft Smartphone 2002 (Stinger),Windows (mobile-class),Smartphone
190,SPV C500,Orange,103 g,2004 Oct,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
191,SP3,I-Mate,103 g,2004 Oct,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
192,8010,Qtek,103 g,2004 Oct,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
193,SMT-5600,Audiovox,103 g,2004 Nov.,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
194,SP3i,I-Mate,102 g,2004 Dec,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
195,8020,Qtek,102 g,2004 Dec,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
196,Xphone II,O2,102 g,2004 Dec,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
197,SPV,Orange,120 g,2002 Nov.,Microsoft Smartphone 2002 (Stinger),Windows (mobile-class),Smartphone
198,Cassiopeia A-10,Casio,380 g,1997 Feb.,Microsoft Handheld PC 1.0 (Pegasus),Windows (mobile-class),Palmtop
199,Cassiopeia A-11,Casio,380 g,1997 May,Microsoft Handheld PC 1.0 (Pegasus),Windows (mobile-class),Palmtop
200,Cassiopeia A-11 Plus,Casio,380 g,1997 Sep,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
201,Telios HC-AJ1,Sharp,810 g,1999 Mar,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Subnotebook
202,Telios HC-AJ2,Sharp,810 g,1999 Nov.,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Subnotebook
203,Telios HC-AJ3,Sharp,810 g,2000 Nov.,Microsoft Handheld PC 2000 (Galileo),Windows (mobile-class),Subnotebook
204,VPA III,Vodafone,212 g,2005 May,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
205,v1620,Vodafone,212 g,2005 Jul,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
206,Cassiopeia A-20,Casio,431 g,1998 Jul,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
207,Cassiopeia A-21,Casio,431 g,1998 Nov.,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
208,Cassiopeia A-23G,Casio,455 g,1999 May,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
209,Aero 8000,Compaq,1345 g,1999 Jul,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Notebook
210,Jornada 420 / 428,Hewlett-Packard,250 g,1999 Mar,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
211,Jornada 430 / 430 SE,Hewlett-Packard,250 g,1999 Nov.,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
212,Jornada 520 / 525,Hewlett-Packard,230 g,2000 Dec,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),PDA
213,Jornada 545,Hewlett-Packard,260 g,2000 Jul,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),PDA
214,Jornada 547 / 548,Hewlett-Packard,260 g,2000 Jul,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),PDA
215,Jornada 564 / 565,Hewlett-Packard,173 g,2001 Oct,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
216,Jornada 567 / 568,Hewlett-Packard,173 g,2001 Nov.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
217,PPC-4100,Audiovox,159 g,2004 Jun,Microsoft Windows Mobile 2003 for Pocket PC Phone Edition (Ozone),Windows (mobile-class),Smartphone
218,Telios HC-7000,Sharp,860 g,2001 Jan.,Microsoft Handheld PC 2000 (Galileo),Windows (mobile-class),Palmtop
219,Telios VJ2C,Sharp,860 g,2000 Dec,Microsoft Handheld PC 2000 (Galileo),Windows (mobile-class),Palmtop
220,Telios VJ1C,Sharp,860 g,2000 Mar,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Palmtop
221,eGO-note,Samsung,1076 g,1998 Nov.,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Subnotebook
222,NEXiO S150 / NEXiO S151,Samsung,240 g,2002 Jan.,Microsoft Handheld PC 2000 (Galileo),Windows (mobile-class),Smartphone
223,PDA Alpha,Yakumo,138 g,2002 Aug.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
224,PDA Delta 200,Yakumo,118 g,2003 Jan.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
225,PDA Delta 300 GPS,Yakumo,147 g,2004 Jan.,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
226,PDA Delta 400,Yakumo,125 g,2003 Oct,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
227,Maestro PDA-1032,Audiovox,184 g,2002 May,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
228,Genio e550,Toshiba,184 g,2001 Aug.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
229,Genio e570,Toshiba,184 g,2002 Apr.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
230,Clio C-1000,Vadem,1451 g,1998 Nov.,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Notebook
231,Clio C-1050,Vadem,1451 g,1999 Dec,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Notebook
232,Mobilon TriPad PV-6000,Sharp,1451 g,1998 Oct,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Notebook
233,iPAQ hw6510,Hewlett-Packard,165 g,2005 Oct,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
234,Mobilon HC-4000,Sharp,410 g,1997 Jan.,Microsoft Handheld PC 1.0 (Pegasus),Windows (mobile-class),Palmtop
235,Mobilon HC-4100,Sharp,410 g,1997 May,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
236,Mobilon HC-4200,Sharp,410 g,1998 Jan.,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
237,Mobilon HC-4500,Sharp,495 g,1998 Jun,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
238,Mobilon HC-4600,Sharp,495 g,1998 Sep,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
239,MobilePro 200,NEC,385 g,1997 Jan.,Microsoft Handheld PC 1.0 (Pegasus),Windows (mobile-class),Palmtop
240,MobilePro 400,NEC,385 g,1997 Jul,Microsoft Handheld PC 1.0 (Pegasus),Windows (mobile-class),Palmtop
241,MobilePro 450,NEC,386 g,1997 Oct,Microsoft Handheld PC 1.0 (Pegasus),Windows (mobile-class),Palmtop
242,MobilePro 700,NEC,680 g,1998 Jan.,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
243,MobilePro 750,NEC,680 g,1998 Jun,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
244,MobilePro 750C,NEC,857 g,1998 Jun,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
245,MobilePro 770,NEC,770 g,1999 Feb.,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Palmtop
246,MobilePro 780,NEC,770 g,2000 Mar,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Palmtop
247,MobilePro 790,NEC,771 g,2001 Feb.,Microsoft Handheld PC 2000 (Galileo),Windows (mobile-class),Palmtop
248,SGH-i300,Samsung,121 g,2005 Dec,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
249,SGH-i750,Samsung,155 g,2006 Mar,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
250,Mobilon Pro PV-5000,Sharp,1231 g,1998 Nov.,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Palmtop
251,PPT 8800w,Symbol,315 g,2003 Jun,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
252,PPT 8800,Symbol,306 g,2003 Jan.,Microsoft Windows CE .NET 4.1 (Jameson),Windows (mobile-class),PDA
253,PDT 8000,Symbol,652 g,2002 Dec,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
254,Pocket PC V35,ViewSonic,118 g,2002 Aug.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
255,Pocket PC V36,ViewSonic,137 g,2003 Jun,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
256,Pocket PC V37,ViewSonic,113.4 g,2004 Feb.,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
257,n20,Acer,180 g,2003 Apr.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
258,n20w,Acer,235 g,2003 Apr.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
259,BE-300 Pocket Manager,Casio,158 g,2002 May,Microsoft Windows CE 3.0 Core (Cedar),Windows (mobile-class),PDA
260,BE-500 Pocket Manager,Casio,158 g,2002 Nov.,Microsoft Windows CE 3.0 Core (Cedar),Windows (mobile-class),PDA
261,SPV M1000,Orange,185 g,2004 Mar,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),Smartphone
262,SH-G1000,Hitachi,238 g,2003 Jul,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
263,HPW-20E8M,Hitachi,456 g,1998 Apr.,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
264,HPW-200EC,Hitachi,848 g,1998 Apr.,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
265,HPW-600ET,Hitachi,840 g,1999 Apr.,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Palmtop
266,HPW-600ETM,Hitachi,840 g,1999 Apr.,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Palmtop
267,HPW-600EUT,Hitachi,840 g,1999 Jun,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Palmtop
268,ViewPad 100,ViewSonic,1100 g,2001 Jun,Microsoft Handheld PC 2000 (Galileo),Windows (mobile-class),Tablet
269,SPV C550,Orange,107 g,2005 Jul,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
270,Mio 169 Digi-Walker,MiTAC,172.4 g,2005 Jun,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
271,E900,Everex,170 g,2005 May,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
272,E500,Everex,165 g,2003 Dec,Microsoft Windows Mobile 2003 for Pocket PC Phone Edition (Ozone),Windows (mobile-class),Smartphone
273,Mondo,Trium,198 g,2001 Oct,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),Smartphone
274,Freestyle 540,Everex,249 g,1999 Dec,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
275,Freestyle Associate A-10,Everex,150 g,1998 Jun,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
276,Freestyle Manager A-15,Everex,145 g,1999 Jul,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
277,Freestyle Manager Monster A-15+,Everex,145 g,1999 Jul,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
278,Freestyle Executive A-20,Everex,145 g,1999 Jul,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
279,Freestyle Executive Monster A-20+,Everex,145 g,2000 Feb.,Microsoft Palm-size PC 1.2 Color (Wyvern),Windows (mobile-class),PDA
280,Thera 2032,Toshiba,198 g,2002 Oct,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
281,Thera PDA-2032,Audiovox,198 g,2002 Sep,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
282,NEXiO S160 / NEXiO S165,Samsung,250 g,2003 Jan.,Microsoft Windows CE .NET 4.1 (Jameson),Windows (mobile-class),PDA
283,NEXiO XP30,Samsung,240 g,2004 May,Microsoft Windows CE .NET 4.1 (Jameson),Windows (mobile-class),PDA
284,NEXiO XP40,Samsung,240 g,2005 Aug.,Microsoft Windows CE 5.0 (Macallan),Windows (mobile-class),PDA
285,SCH-i730,Samsung,183 g,2005 Jul,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
286,Cathena,Data Evolution,1400 g,2004 Sep,Microsoft Windows CE .NET 4.2 Professional Edition (McKendric),Windows (mobile-class),Notebook
287,Clio NXT,Data Evolution,1400 g,2005 Apr.,Microsoft Windows CE .NET 4.2 (McKendric),Windows (mobile-class),Notebook
288,SCH-i600 / SPH-i600,Samsung,130 g,2003 Oct,Microsoft Windows Mobile 2003 for Smartphone,Windows (mobile-class),Smartphone
289,InfoTouch M600,E-TEN,165 g,2005 Nov.,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
290,moboDA 3360,AnexTEK,187 g,2006 Mar,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
291,P515,Asus,150 g,Cancelled,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
292,SP230,AnexTEK,158 g,2004 Jan.,Microsoft Windows Mobile 2003 for Pocket PC Phone Edition (Ozone),Windows (mobile-class),Smartphone
293,MyPal A636,Asus,186 g,2005 Nov.,Microsoft Windows Mobile 5.0 for Pocket PC Premium Edition (Magneto),Windows (mobile-class),PDA
294,VDA,Vodafone,102 g,2005 Jun,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
295,SPV M500,Orange,155 g,2005 Jul,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
296,S110,Qtek,155 g,2005 Aug.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
297,PDA2k EVDO,I-Mate,212 g,2005 Jun,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
298,WA3050,Sagem,198 g,2002 Jun,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),Smartphone
299,MobilePro P300,NEC,188 g,2002 May,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
300,Jornada 928 WDA,Hewlett-Packard,194 g,2002 Mar,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
301,iQue M3,Garmin,166 g,2005 Aug.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
302,iQue M5,Garmin,166 g,2005 Jul,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
303,SCH-M600,Samsung,162 g,2005 Nov.,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
304,MC50 QWERTY,Symbol,192 g,2005 Mar,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
305,MC50 NAV,Symbol,182 g,2005 Mar,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
306,i800,Silicon-i,98 g,2005 Oct,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
307,MOTO Q 9h,Motorola,134 g,2007 Sep,Microsoft Windows Mobile 6 Standard (Crossbow),Windows (mobile-class),Smartphone
308,9100,Qtek,169 g,2005 Nov.,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
309,Pocket@i EX,NEC,290 g,2005 Aug.,Microsoft Windows CE 5.0 (Macallan),Windows (mobile-class),PDA
310,9000,Qtek,285 g,2005 Nov.,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
311,SPV M5000,Orange,285 g,2005 Nov.,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
312,JASJAR,I-Mate,285 g,2005 Sep,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
313,XDA Exec,O2,285 g,2005 Oct,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
314,PDA deltaX GPS,Yakumo,169 g,2005 Mar,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
315,iPAQ H1937,Hewlett-Packard,124 g,2003 Sep,Microsoft Windows Mobile 2003 for Pocket PC Professional Edition (Ozone),Windows (mobile-class),PDA
316,iPAQ H6310 / H6315 / H6320 / H6325 / H6365,Hewlett-Packard,190 g,2004 Jul,Microsoft Windows Mobile 2003 for Pocket PC Phone Edition (Ozone),Windows (mobile-class),Smartphone
317,iPAQ hw6910 / hw6920 / hw6940,Hewlett-Packard,175 g,2006 Apr.,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
318,8300,Qtek,106.5 g,2005 Nov.,Microsoft Windows Mobile 5.0 for Smartphone,Windows (mobile-class),Smartphone
319,8310,Qtek,106 g,2005 Nov.,Microsoft Windows Mobile 5.0 for Smartphone,Windows (mobile-class),Smartphone
320,8200,Qtek,107 g,2005 Sep,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
321,SP4m,I-Mate,107 g,2005 Dec,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
322,2060,Qtek,185 g,2003 Nov.,Microsoft Windows Mobile 2003 for Pocket PC Phone Edition (Ozone),Windows (mobile-class),Smartphone
323,K-JAM,I-Mate,168 g,2005 Oct,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
324,P50,Siemens,179 g,2006 Jan.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
325,MyPal A632,Asus,186 g,2005 Nov.,Microsoft Windows Mobile 5.0 for Pocket PC Premium Edition (Magneto),Windows (mobile-class),PDA
326,SPV M3000,Orange,169 g,2005 Nov.,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
327,G100,Qtek,126 g,2005 Dec,Microsoft Windows Mobile 5.0 for Pocket PC Premium Edition (Magneto),Windows (mobile-class),PDA
328,SP5,I-Mate,106 g,2005 Oct,Microsoft Windows Mobile 5.0 for Smartphone,Windows (mobile-class),Smartphone
329,SP5m,I-Mate,106.5 g,2005 Oct,Microsoft Windows Mobile 5.0 for Smartphone,Windows (mobile-class),Smartphone
330,SPV C600,Orange,105 g,2005 Nov.,Microsoft Windows Mobile 5.0 for Smartphone,Windows (mobile-class),Smartphone
331,XDA mini S,O2,169 g,2005 Nov.,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
332,XV6700,Audiovox,150 g,2006 Jan.,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
333,XDA Atom,O2,140 g,2006 Jan.,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
334,A701 Digi-Walker,Mio,148 g,2006 Mar,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
335,A201 Digi-Walker,Mio,172 g,2006 Jan.,Microsoft Windows Mobile 5.0 for Pocket PC Premium Edition (Magneto),Windows (mobile-class),PDA
336,Cassiopeia DT-5200 M50,Casio,290 g,2005 Oct,Microsoft Windows CE 5.0 (Macallan),Windows (mobile-class),PDA
337,Cassiopeia DT-5200 M50C,Casio,290 g,2005 Oct,Microsoft Windows CE 5.0 (Macallan),Windows (mobile-class),PDA
338,Cassiopeia DT-5200 M50SC,Casio,290 g,2005 Oct,Microsoft Windows CE 5.0 (Macallan),Windows (mobile-class),PDA
339,Cassiopeia DT-5200 M50S,Casio,290 g,2005 Oct,Microsoft Windows CE 5.0 (Macallan),Windows (mobile-class),PDA
340,PDA-N,I-Mate,126 g,2006 Feb.,Microsoft Windows Mobile 5.0 for Pocket PC Premium Edition (Magneto),Windows (mobile-class),PDA
341,Treo 700w,Palm,178 g,2006 Jan.,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
342,n300,Acer,135 g,2005 Dec,Microsoft Windows Mobile 5.0 for Pocket PC Premium Edition (Magneto),Windows (mobile-class),PDA
343,n311,Acer,135 g,2005 Dec,Microsoft Windows Mobile 5.0 for Pocket PC Premium Edition (Magneto),Windows (mobile-class),PDA
344,Axim X51v,Dell,175 g,2005 Sep,Microsoft Windows Mobile 5.0 for Pocket PC Premium Edition (Magneto),Windows (mobile-class),PDA
345,Axim X51 Basic,Dell,167 g,2005 Sep,Microsoft Windows Mobile 5.0 for Pocket PC Premium Edition (Magneto),Windows (mobile-class),PDA
